"startpoint";"replicata_export_date";"parent";"id";"type";"title";"description";"subject";"relatedItems";"location";"language";"effectiveDate";"expirationDate";"creation_date";"modification_date";"creators";"contributors";"rights";"allowDiscussion";"excludeFromNav";"nextPreviousEnabled";"ReplicataPlugin_Products_csvreplicata_exportimport_plugins_WorkflowExportImporter_wf_chain";"ReplicataPlugin_Products_csvreplicata_exportimport_plugins_WorkflowExportImporter_wf_state";"synonyms"
"Start point";"Export Date";"Parent folder";"Identifier";"Content type";"Title";"label_description";"label_tags";"label_related_items";"label_location";"label_language";"label_effective_date";"label_expiration_date";"label_creation_date";"label_modification_date";"label_creators";"label_contributors";"label_copyrights";"label_allow_comments";"label_exclude_from_nav";"label_nextprevious";"ReplicataPlugin_Products_csvreplicata_exportimport_plugins_WorkflowExportImporter_wf_chain";"ReplicataPlugin_Products_csvreplicata_exportimport_plugins_WorkflowExportImporter_wf_state";"Synonyms"
"/Plone/marscategories";"20120906162153";"";"analysis-technique";"Mars Category";"Analysis technique";"";"";"";"";"fr";"";"";"24/05/2011 12:25:02";"24/05/2011 12:25:02";"admin";"";"";"";"True";"False";"";"";""
"/Plone/marscategories";"20120906162153";"";"nothing";"Mars Category";"Nothing";"";"";"";"";"fr";"";"";"24/05/2011 12:25:02";"24/05/2011 12:25:02";"admin";"";"";"";"True";"False";"";"";""
"/Plone/marscategories";"20120906162153";"";"pathology";"Mars Category";"Pathology";"";"";"";"";"fr";"";"";"24/05/2011 12:25:02";"24/05/2011 12:25:02";"admin";"";"";"";"True";"False";"";"";""
"/Plone/marscategories";"20120906162153";"";"technology";"Mars Category";"Technology";"";"";"";"";"fr";"";"";"24/05/2011 12:25:03";"24/05/2011 12:25:03";"admin";"";"";"";"True";"False";"";"";""
"/Plone/marscategories";"20120906162153";"";"taphonomy";"Mars Category";"Taphonomy";"";"";"";"";"fr";"";"";"24/05/2011 12:25:03";"24/05/2011 12:25:03";"admin";"";"";"";"True";"False";"";"";""
"/Plone/marscategories";"20120906162153";"";"remain-type";"Mars Category";"Remain Type";"";"";"";"";"fr";"";"";"24/05/2011 12:25:03";"24/05/2011 12:25:03";"admin";"";"";"";"True";"False";"";"";""
"/Plone/marscategories";"20120906162153";"";"analyse-type";"Mars Category";"Analyse Type";"";"";"";"";"fr";"";"";"25/05/2011 15:12:16";"25/05/2011 15:12:16";"admin";"";"";"";"True";"False";"";"";""
"/Plone/marscategories";"20120906162153";"";"human-remain-type";"Mars Category";"Human Remain Type";"";"";"";"";"fr";"";"";"13/03/2012 22:08:24";"13/03/2012 22:08:24";"psemal";"";"";"";"True";"False";"";"";""
"/Plone/marscategories";"20120906162153";"";"analysis-keywords";"Mars Category";"Analysis keywords";"";"";"";"";"fr";"";"";"24/05/2011 12:24:58";"24/05/2011 12:24:58";"admin";"";"";"";"True";"False";"";"";""
